departure_airport,departure_country,arrival_airport,arrival_country,departure_date,return_date,seat_class,departure_airline,departure_departure_airport,departure_departure_date,departure_departure_time,departure_num_stops,departure_connection_airports,departure_layover_durations,departure_arrival_airport,departure_arrival_date,departure_arrival_time,departure_duration_minutes,departure_duration_str,departure_carry_on_bags,departure_checked_bags,return_airline,return_departure_airport,return_departure_date,return_departure_time,return_num_stops,return_connection_airports,return_layover_durations,return_arrival_airport,return_arrival_date,return_arrival_time,return_duration_minutes,return_duration_str,return_carry_on_bags,return_checked_bags,price,price_classification,price_relativity,status
RDU,United States of America,Paris,France,04/02/2026,04/16/2026,Economy,Air Canada,Raleigh-Durham International Airport,"Thursday, April 2",2:45 PM,1,['Montréal-Pierre Elliott Trudeau International Airport'],['1 hr 16 min'],Paris Charles de Gaulle Airport,"Friday, April 3",7:05 AM,620,10 hr 20 min,,,Lufthansa,Paris Charles de Gaulle Airport,"Thursday, April 16",7:25 AM,1,['Frankfurt Airport'],['1 hr 40 min'],Raleigh-Durham International Airport,"Thursday, April 16",1:45 PM,740,12 hr 20 min,,,753,cheaper,387,Ran successfully.
RDU,United States of America,SEA,United States of America,04/02/2026,04/16/2026,Economy (exclude Basic),Delta,Raleigh-Durham International Airport,"Thursday, April 2",6:59 AM,0,[],[],Seattle-Tacoma International Airport,"Thursday, April 2",9:59 AM,360,6 hr,1.0,0.0,Delta,Seattle-Tacoma International Airport,"Thursday, April 16",4:00 PM,0,[],[],Raleigh-Durham International Airport,"Thursday, April 16",11:58 PM,298,4 hr 58 min,1.0,0.0,357,cheaper,161,Ran successfully.
RDU,United States of America,SFO,United States of America,04/02/2026,04/16/2026,Economy (exclude Basic),United,Raleigh-Durham International Airport,"Thursday, April 2",6:05 AM,0,[],[],San Francisco International Airport,"Thursday, April 2",9:09 AM,364,6 hr 4 min,1.0,0.0,United,San Francisco International Airport,"Thursday, April 16",7:10 AM,0,[],[],Raleigh-Durham International Airport,"Thursday, April 16",3:28 PM,318,5 hr 18 min,1.0,0.0,379,cheaper,100,Ran successfully.
RDU,United States of America,London,United Kingdom,04/02/2026,04/16/2026,Economy,JetBlue,Raleigh-Durham International Airport,"Thursday, April 2",1:05 PM,1,['Boston Logan International Airport'],['3 hr 30 min'],Heathrow Airport,"Friday, April 3",6:30 AM,745,12 hr 25 min,,,JetBlue,Heathrow Airport,"Thursday, April 16",11:55 AM,1,['John F'],['4 hr 53 min'],Raleigh-Durham International Airport,"Thursday, April 16",10:00 PM,905,15 hr 5 min,,,778,typical,0,Ran successfully.
