departure_airport,departure_country,arrival_airport,arrival_country,departure_date,return_date,seat_class,departure_airline,departure_departure_airport,departure_departure_date,departure_departure_time,departure_num_stops,departure_connection_airports,departure_layover_durations,departure_arrival_airport,departure_arrival_date,departure_arrival_time,departure_duration_minutes,departure_duration_str,departure_carry_on_bags,departure_checked_bags,return_airline,return_departure_airport,return_departure_date,return_departure_time,return_num_stops,return_connection_airports,return_layover_durations,return_arrival_airport,return_arrival_date,return_arrival_time,return_duration_minutes,return_duration_str,return_carry_on_bags,return_checked_bags,price,price_classification,price_relativity,status,trip_length_days
JFK,United States of America,London,United Kingdom,04/23/2026,04/29/2026,Economy,American,John F. Kennedy International Airport,"Thursday, April 23",7:20 PM,0,[],[],Heathrow Airport,"Friday, April 24",7:20 AM,420,7 hr,,,Iberia,Heathrow Airport,"Wednesday, April 29",11:30 AM,1,['Adolfo Suárez Madrid-Barajas Airport'],['1 hr 25 min'],John F. Kennedy International Airport,"Wednesday, April 29",6:55 PM,745,12 hr 25 min,,,516,cheaper,222,Ran successfully.,6
JFK,United States of America,London,United Kingdom,04/24/2026,04/29/2026,Economy,American,John F. Kennedy International Airport,"Friday, April 24",7:20 PM,0,[],[],Heathrow Airport,"Saturday, April 25",7:20 AM,420,7 hr,,,Iberia,Heathrow Airport,"Wednesday, April 29",11:30 AM,1,['Adolfo Suárez Madrid-Barajas Airport'],['1 hr 25 min'],John F. Kennedy International Airport,"Wednesday, April 29",6:55 PM,745,12 hr 25 min,,,516,cheaper,177,Ran successfully.,5
JFK,United States of America,London,United Kingdom,04/23/2026,04/28/2026,Economy,American,John F. Kennedy International Airport,"Thursday, April 23",7:20 PM,0,[],[],Heathrow Airport,"Friday, April 24",7:20 AM,420,7 hr,,,American,Heathrow Airport,"Tuesday, April 28",2:10 PM,0,[],[],John F. Kennedy International Airport,"Tuesday, April 28",5:00 PM,470,7 hr 50 min,,,544,cheaper,147,Ran successfully.,5
JFK,United States of America,London,United Kingdom,04/25/2026,04/30/2026,Economy,Norse Atlantic UK,John F. Kennedy International Airport,"Saturday, April 25",6:20 PM,0,[],[],London Gatwick Airport,"Sunday, April 26",6:20 AM,420,7 hr,,,Norse Atlantic UK,London Gatwick Airport,"Thursday, April 30",1:05 PM,0,[],[],John F. Kennedy International Airport,"Thursday, April 30",3:55 PM,470,7 hr 50 min,,,439,cheaper,112,Ran successfully.,5
JFK,United States of America,London,United Kingdom,04/23/2026,04/30/2026,Economy,American,John F. Kennedy International Airport,"Thursday, April 23",7:20 PM,0,[],[],Heathrow Airport,"Friday, April 24",7:20 AM,420,7 hr,,,British Airways and American,Heathrow Airport,"Thursday, April 30",7:05 AM,1,['Edinburgh Airport'],['2 hr'],John F. Kennedy International Airport,"Thursday, April 30",12:29 PM,624,10 hr 24 min,,,528,cheaper,96,Ran successfully.,7
JFK,United States of America,London,United Kingdom,04/24/2026,04/30/2026,Economy,Norse Atlantic UK,John F. Kennedy International Airport,"Friday, April 24",6:20 PM,0,[],[],London Gatwick Airport,"Saturday, April 25",6:20 AM,420,7 hr,,,Norse Atlantic UK,London Gatwick Airport,"Thursday, April 30",1:05 PM,0,[],[],John F. Kennedy International Airport,"Thursday, April 30",3:55 PM,470,7 hr 50 min,,,458,typical,0,Ran successfully.,6
